LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:04670a,"额，其实也不算忙","well, not really",,Player,AuntIntroStart
line:de5495,我只是一直在\n等一通电话,i've just been waiting\naround for a call,,Player,AuntIntroStart
line:ac2e52,额，那你便有麻烦了！,well there's your problem!,,Original,AuntIntroEnd
line:122c03,这边可一点信号都没有,there's no reception out here,,Original,AuntIntroEnd
line:895cf8,等等...,wait...,,Player,AuntIntroEnd
line:85a826,什-么！？,WHAT!?,,Player,AuntIntroEnd
line:264290,"没错，当然，也可以说是\n这边的大部分区域都没有","yeah, i mean, pretty much\nno reception",,Original,AuntIntroEnd
line:8a1b8c,唯一可能能收到信号\n的地方是<color=red>神鹰峰</color>,you might be able to get\nsome at <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:c175a4,哦...好——吧,oh... yeah i guess,,Player,AuntIntroEnd
line:f8213b,但那里距离这里\n是不是很远啊？,but that's pretty far\nisn't it?,,Player,AuntIntroEnd
line:b5e4af,也没那么远啦！,it's not that far!,,Original,AuntIntroEnd
line:2adc6a,我们之前不是\n远足过了嘛,we've all made the\ntrek before,,Original,AuntIntroEnd
line:2cc023,我还以为你早就\n出发了呢,i figured you would have\ngone already,,Original,AuntIntroEnd
line:22169d,哦... 是啊,oh... yeah,,Player,AuntIntroEnd
line:87a10b,我正打算走呢,i've been meaning to go,,Player,AuntIntroEnd
line:bb94a0,不过,but,,Player,AuntIntroEnd
line:97eccf,我只是,i just,,Player,AuntIntroEnd
line:43b28d,还没来得及离开,haven't gotten around to it yet,,Player,AuntIntroEnd
line:7a4449,这样啊，正好今天的\n天气也很不错呢！,well today's as good a day\nas any!,,Original,AuntIntroEnd
line:69a1a3,...,...,Claire is silent because she has been avoiding this hike - she's nervous it will too hard.,Player,AuntIntroEnd
line:665732,你只需要沿着<color=red>白岸步道</color>\n一路向<color=red>北</color>直达岔路,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,,Original,AuntIntroEnd
line:4a3aac,然后再跟着指示牌走\n就能到达<color=red>神鹰峰</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:afa6b1,你没问题的！,no problem!,,Original,AuntIntroEnd
line:e4f197,<color=red>神鹰峰</color>真的很漂亮,<color=red>Hawk Peak</color> really is wonderful,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:8866aa,你会喜欢那里的！,you're going to love it!,,Original,AuntChat
line:3f786f,嗯...我听说过很多有关那里的事,yeah... i've heard a lot about it,,Player,AuntChat
line:1a3a17,"当然，这段旅程也没那么简单","it's quite a hike, sure",,Original,AuntChat
line:5178bc,但登顶神鹰峰也算是我们家族的\n一个家族传统了吧,but our family has been going\nthere for generations,,Original,AuntChat
line:67dceb,好吧,yup,,Player,AuntChat
line:e2d813,峰顶的温泉提供了\n绝佳的上升气流,the hot springs at the peak\ncreate these amazing updrafts,,Original,AuntChat
line:40798a,翱翔其中的感觉\n非常美妙,the feeling of flying up there\nis incredible,,Original,AuntChat
line:f124e6,但,but,,Player,AuntChat
line:a1168c,这是不是,isn't it,,Player,AuntChat
line:c8cb65,有点危险？,kind of dangerous?,,Player,AuntChat
line:65f725,不算啦,not really,,Original,AuntChat
line:2dc6ae,你一定没问题的！,it'll be no problem for you!,,Original,AuntChat
line:a9b82f,嗯,hmm,,Player,AuntChat
line:0acd94,所以你到底在\n等什么电话？,so what kind of call\nare you waiting for?,Only if the player continues to talk to the Aunt.,Player,AuntChat
line:e495d6,哦..呃,oh.. um,,Player,AuntChat
line:e1eca7,你知道的...,you know...,,Player,AuntChat
line:fe9497,...,...,,Player,AuntChat
line:39e326,那件事,the thing,,Player,AuntChat
line:a48a7c,...,...,,Original,AuntChat
line:9c8c35,哦哦！抱歉,ohhh! i'm sorry,,Original,AuntChat
line:4d933a,我把这事给忘了,i forgot,,Original,AuntChat
line:04095c,不要再担心了，亲爱的,don't worry about it dear,,Original,AuntChat
line:0c7e66,我相信一切都会\n好起来的,i'm sure it'll all work\nout fine,,Original,AuntChat
line:69afd0,我想,i think,,Original,AuntChat
line:e13932,出去走一走应该能\n让你换换心情,a nice hike will help you\ntake your mind off it,,Original,AuntChat
line:109615,啊，今天的天气可真不错,ahh sure is a nice day,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:923d86,"我很喜欢这里，你知道吗","i love it here, you know?",,Original,AuntChat
line:2640d9,"对啊，这里挺不错的","yeah, it's nice",,Player,AuntChat
line:797bbe,但我想城市\n也不差！,the city's pretty good\ntoo though!,,Player,AuntChat
line:a96f99,那里有很棒的活动,it's got cool events,,Player,AuntChat
line:af8fd9,美味的食物,great food,,Player,AuntChat
line:ba2c5e,而且还有,and also,,Player,AuntChat
line:2eade3,手机信号！,cellphone reception!,,Player,AuntChat
line:c73cbb,"这里也很快就要有\n信号了，你知道吗！","we'll get reception too\nsoon, ya know!",,Original,AuntChat
line:89c559,这边正在建造\n新的信号塔,they're building a new\nradio tower,,Original,AuntChat
line:49e489,哦,oh,,Player,AuntChat
line:6b6e0e,那挺不错的啊,that'll be nice,,Player,AuntChat
line:d4c9d3,"啊，这里可太棒了","ahh, it's so lovely here",Only if the player continues to talk to the Aunt.,Player,AuntChat
line:223ea1,我能在这里坐上一整天,i could sit here all day,,Player,AuntChat
line:de9d91,而且我会的,and i will,,Player,AuntChat
line:b7a7b0,CLAIRE！,CLAIRE!,,Original,KidStart
line:c4bfc9,你知道...,did you know...,,Original,KidStart
line:89c5de,你可以在<color=red>奔跑时按住{{JumpButton}}</color>\n来在空中滑翔吗？！？,you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,,Original,KidStart
line:63f4be,当然了！,of course!,,Player,KidStart
line:bc1f77,这谁不知道啊,everyone knows that,,Player,KidStart
line:59da5d,你为什么突然问这个？,why do you ask?,,Player,KidStart
line:11dc70,我不知道,i dunno,,Original,KidStart
line:8d1f3a,我只是觉得你可能\n想要知道这个,i just had a feeling\nyou might want to know,,Original,KidStart
line:5f1cb6,嗯,um,,Player,KidStart
line:9857a1,好吧,ok,,Player,KidStart
line:6b0d0c,"等等，额","wait, uh",Only if the player continues to talk.,Player,KidStart
line:2c740b,我该怎么滑翔来着？,how do i glide again?,,Player,KidStart
line:a5b030,你在<color=red>奔跑时按住{{JumpButton}}</color>\n就可以了啊，小笨蛋！,you <color=red>hold {{JumpButton}} while running</color> dummy!,,Original,KidStart
line:131a7c,哎呀，我只是确认下\n你忘没忘罢了,cool just making sure\nyou haven't forgotten,,Player,KidStart
line:975e5c,我从不忘记任何事！,i never forget anything!,,Original,KidStart
line:845d4e,我可是天才,i'm a genius,,Original,KidStart
line:32fa08,好吧，最后一次,ok one last time,Only if the player continues to talk.,Player,KidStart
line:b08a47,你刚刚说了什么来着？,what was that thing you said?,,Player,KidStart
line:703f8a,<color=red>奔跑时按住{{JumpButton}}就可以滑翔了！！！</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,,Original,KidStart
line:5746d5,好的，谢谢,ok thanks,,Player,KidStart
line:509a8c,这真的是最后一次了,seriously just one last time,,Player,KidStart
line:1a38b1,按住,HOLD,Only if the player continues to talk.,Original,KidStart
line:77a928,{{JumpButton}},{{JumpButton}},,Original,KidStart
line:f7a6f2,来,TO,,Original,KidStart
line:193b8b,滑翔！！！！,GLIDE!!!!,,Original,KidStart
line:abcac6,好的，我保证我不会再忘了,ok i promise i won't forget,,Player,KidStart
line:ff18cb,就最后-,just one more-,Only if the player continues to talk.,Player,KidStart
line:e27b74,不！,NO!,,Original,KidStart
line:81083b,不——！,NOOOO!,,Original,KidStart
line:9ab14d,不——————————————！,NOOOOOOOOOOOOOOOOOOO!,,Original,KidStart
line:767e99,不准再问了！！！！,NO MORE!!!!,,Original,KidStart
line:29cac4,嘿，你,HEY YOU,,Original,OtherKidStart
line:17a485,给我找15个贝壳来！,FIND ME 15 SHELLS!,,Original,OtherKidStart
line:c5ecea,什么！为什么？,what! why?,,Player,OtherKidStart
line:e4e484,我想要这个,i want em,,Original,OtherKidStart
line:88d371,"嗯，但为什么呢","yeah, but why",,Player,OtherKidStart
line:7a437e,这是个秘密！,it's a secret!,,Original,OtherKidStart
line:a889a8,"哈哈，好吧","heh, ok",,Player,OtherKidStart
line:ad9058,我会帮你看上一眼的,i'll keep an eye out,,Player,OtherKidStart
line:875ed5,"还是看上两眼吧，拜托！","keep BOTH eyes out, please!",,Original,OtherKidStart
line:feb9a5,"嘿，我帮你搞来了些贝壳","hey, i got your shells",If the player returns with the shells.,Player,OtherKidStart
line:051e4c,哦——！,ooooo!,,Original,OtherKidStart
line:c72422,我收下了！,i'll take em!,,Original,OtherKidStart
line:e1241c,那现在呢,so now what,,Player,OtherKidStart
line:3e628d,什么,what,,Original,OtherKidStart
line:831bce,我是说,i mean,,Player,OtherKidStart
line:147c2e,额,uh,,Player,OtherKidStart
line:1b9367,我有什么回报吗,do i get anything,,Player,OtherKidStart
line:2fde5e,没有！,no!,,Original,OtherKidStart
line:05680a,"天呐，你连句谢谢也没有吗？","geez, not even a thank you?",,Player,OtherKidStart
line:16ea80,这样不太好吧,that's not very nice,,Player,OtherKidStart
line:bae3c7,我所做的一切都是为了生存！,i do what it takes to survive!,,Original,OtherKidStart
line:648a49,我没有答应过你任何事情,i never promised you anything,,Original,OtherKidStart
line:caf7cc,...,...,,Player,OtherKidStart
line:8e0304,事实上,actually,,Original,OtherKidStart
line:9d6eff,我的确有东西要给你,i do have something for you,,Original,OtherKidStart
line:4d16a1,那便是一份新工作,a new job,,Original,OtherKidStart
line:921eeb,我已经有班上了,i already have a job,,Player,OtherKidStart
line:4ab932,那你就把这个当成是兼职吧,well make this your side gig,,Original,OtherKidStart
line:1054b1,假如我不要这份工作呢,what if i don't take it,,Player,OtherKidStart
line:5ac191,那是你的损失！,it's your loss!,,Original,OtherKidStart
line:2f60fc,好工作可不好找,good jobs are hard to find,,Original,OtherKidStart
line:0c16fe,...,...,,Original,OtherKidStart
line:c46b69,你是怎么打算的？,so what will it be?,Jumps to ConsiderKidQuest.,Original,OtherKidStart
line:21d908,所以你要贝壳干什么？,so what's the deal with the shells?,If the player talks to them again.,Player,OtherKidStart
line:414248,这不关你的事！,it's none of your business!,,Original,OtherKidStart
line:14cf86,除非,except,,Original,OtherKidStart
line:dfc345,你替我做事，为我收集\n15个贝壳,for the business of you\ngetting me 15 of them,,Original,OtherKidStart
line:2e35f7,我目前已经收集了{{Item_Shell}}个贝壳！,i got {{Item_Shell}} shells so far!,If the player talks to them again with some shells.,Player,OtherKidStart
line:0e8aeb,嘿，我问你个\n小小的问题,hey can i ask you\na quick question,,Original,OtherKidStart
line:0a19d0,好的,sure,,Player,OtherKidStart
line:8a7060,{{Item_Shell}}比15大还是小,is {{Item_Shell}} more or less than 15,,Original,OtherKidStart
line:02f9ee,"额，","uh,",,Player,OtherKidStart
line:e8e0b5,小？,less?,,Player,OtherKidStart
line:588d2f,对啊,yeah,,Original,OtherKidStart
line:4b7c40,是小,it is,,Original,OtherKidStart
line:53148f,如果你还没有集齐足够的贝壳...,if you don't have the goods...,,Original,OtherKidStart
line:96850b,...那就不要来浪费我的时间！,...then don't waste my time!,,Original,OtherKidStart
line:b94465,啊，天呐！,okay geez!,,Player,OtherKidStart
line:961fbd,我还能说什么呢,what can i say,,Original,OtherKidStart
line:974e98,我的标准可是很严的,i run a tight ship,,Original,OtherKidStart
line:e38563,嗯—,hmmm,,Original,FoxStart
line:b29d15,我原本打算徒步\n前往 <color=red>神鹰峰</color>,i was planning on hiking\nto <color=red>Hawk Peak</color>,,Original,FoxStart
line:7ba030,但前面的的路突然就开始变陡了,but the path suddenly got really steep,,Original,FoxStart
line:83c6cd,你觉得这边好爬吗？,do you think it's climbable?,,Player,FoxStart
line:bb9ad1,"呃，应该还是能爬的，前提是\n我得有一根<color=red>金羽毛</color>","well, it would be if i had\na <color=red>golden feather</color>",,Original,FoxStart
line:c5407a,这东西<color=red>游客中心</color>应该有得卖,apparently they sell them\nat the <color=red>Visitor Center</color>,,Original,FoxStart
line:4cacb9,"所以，这个<color=red>金羽毛</color>到底有什么用呢？","so, how do <color=red>golden feathers</color> work?",If the player talks to them again.,Player,FoxStart
line:37e9e6,"呃，当你口袋里有金羽毛的时候","well, when you've got\none in your pocket",,Original,FoxStart
line:477585,你会觉得自己变得更轻,you'll feel much lighter,,Original,FoxStart
line:3bbcd0,这样你攀起岩来\n就更省劲了！,that makes it easier to\nclimb up cliffs!,,Original,FoxStart
line:e82492,哇,woah,,Player,FoxStart
line:5dd075,听上去好厉害,that's pretty cool,,Player,FoxStart
line:9d3ba7,那当然了！,it is indeed!,,Original,FoxStart
line:2c9d43,所以你为什么想去神鹰峰呢？,so why are you going to Hawk Peak?,If the player talks to them again.,Player,FoxStart
line:cf58a9,我打算从峰顶\n拍摄自然风光,i'm going to take some great\nnature shots from the top,,Original,FoxStart
line:f9074d,我觉得自己还算不上是什么摄影师，但...,i wouldn't call myself a photographer but...,,Original,FoxStart
line:02b8b9,这对我来说也算是一个有趣的爱好,it's just a fun hobby,,Original,FoxStart
line:bf4b14,我也打算去那里！,i'm going there too!,,Player,FoxStart
line:fd2045,哦真的吗？,oh yeah?,,Original,FoxStart
line:6e4c47,据说这会是一段很漫长的旅途,i heard it's a long hike,,Original,FoxStart
line:34b8e9,"是这样，吗？","it is, eh?",,Player,FoxStart
line:ed5d70,我的姑姑就总是说,my aunt's always like,,Player,FoxStart
line:215373,"“这只是次短途旅行罢了！”","""it's just a short hike away!""",,Player,FoxStart
line:fb4e3a,不过她也完全算得上是个户外狂热爱好者,but she's a total outdoors geek,,Player,FoxStart
line:8c7a1f,所以,so,,Player,FoxStart
line:b7e9d9,我觉得她的话不太有参考价值,i think she underestimates it,,Player,FoxStart
line:7ba994,我觉得也是,i'd say so,,Original,FoxStart
line:726a9c,如果我们在相同的时间登顶,if we make it up at the same time,If the player talks to them again.,Player,FoxStart
line:4286c4,你可一定要给我拍张照啊！,you'll have to get my picture!,,Player,FoxStart
line:4a5a70,好说好说！,sounds like a plan!,,Original,FoxStart
line:b69196,峰顶见！,see ya there!,,Player,FoxStart
line:d8da86,这让我感觉\n有一点尴尬,this is a little\nbit embarrassing,Only if the Artist is painting the Goat Ranger.,Original,VisitorCenterStart
line:b49975,我觉得自己不算\n特别上相,i don't think i'm\nvery photogenic,,Original,VisitorCenterStart
line:790618,但我也很高兴自己能在\n艺术领域为他提供帮助！,but i'm glad i can\nhelp with his art!,,Original,VisitorCenterStart
line:773c2e,就这样,anyway,,Original,VisitorCenterStart
line:7cc3e6,好帅的帽子！,lookin' sharp in that hat!,Only if the player is wearing the Ranger Hat.,Original,VisitorCenterStart
line:9076cd,你好！,howdy!,,Original,VisitorCenterStart
line:40a49b,有什么事吗？,what's up?,,Original,VisitorCenterStart
line:663e36,我可以买1根<color=red>金羽毛吗？</color>,can I buy a <color=red>golden feather?</color>,Dialogue choice.,Player,VisitorCenterStart
line:7c01cd,你这里都卖些什么？,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:c822cd,没什么,nothing much,Dialogue choice.,Player,VisitorCenterStart
line:a7d95e,好的,yup,"If the player says ""nothing much.""",Original,VisitorCenterStart
line:e6c071,那就这样了,that's how it goes,,Original,VisitorCenterStart
line:d2ce1b,有什么能帮你的吗？,how can i help you?,"The first time the player talks to the Goat Ranger, having heard of Golden Feathers.",Original,VisitorCenterStart
line:21f53d,我听说你们这里卖<color=red>\n金羽毛</color>对吗,i heard you sell <color=red>\ngolden feathers</color> here,,Player,VisitorCenterStart
line:2c9feb,"啊，没错！","ah, we do!",,Original,VisitorCenterStart
line:65be46,你可以花40硬币\n来买上1根,you can buy one\nfor 40 coins,,Original,VisitorCenterStart
line:bc4372,我要了！,i'll take it!,Dialogue choice.,Player,VisitorCenterStart
line:893486,你这里还卖什么吗？,what else do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:5274f3,我觉得现在这样挺好的,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:505bd5,我们也卖一些省级\n公园的周边产品,we also sell provincial\npark merchandise,In response to the player saying bye.,Original,VisitorCenterStart
line:d739f6,"好的，请多保重","alrighty, take care",,Original,VisitorCenterStart
line:bc241f,"额，","um,","The first time the player talks to the Goat Ranger, NOT having heard of Golden Feathers.",Original,VisitorCenterStart
line:27d375,我不知道,i dunno,,Original,VisitorCenterStart
line:6295ae,我觉得还好,i guess i'm fine,,Original,VisitorCenterStart
line:f627f3,好的！,alrighty!,,Original,VisitorCenterStart
line:9149a2,如果你需要指路或者打算\n买东西的话请记得告诉我,let me know if you need directions\nor want to buy anything,,Original,VisitorCenterStart
line:8051f6,"哦，你们这里都卖些什么？","oh, what are you selling?",,Player,VisitorCenterStart
line:f74cad,"这个，我们这边有省级公园的\n各种周边产品","well, we have provincial\npark merch",,Original,VisitorCenterStart
line:03b0f8,以及一些远足补给品\n比如<color=red>金羽毛</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,,Original,VisitorCenterStart
line:4996e6,那是什么？,what are those?,,Player,VisitorCenterStart
line:da421d,听上去还挺不错,they sound cool,,Player,VisitorCenterStart
line:f56321,那当然是好东西了！,they are cool!,,Original,VisitorCenterStart
line:fd1b15,它们能让攀岩变得更容易,they make rock climbing easier,,Original,VisitorCenterStart
line:852b3a,而对你来说,and in your case,,Original,VisitorCenterStart
line:0f4a0c,还会有助于飞行哦,will also help you fly,,Original,VisitorCenterStart
line:a936ff,！！,!!,,Player,VisitorCenterStart
line:24358e,1根的价格是40硬币,you can buy one for 40 coins,,Original,VisitorCenterStart
line:b56114,我要了！！,i'll take it!!,Dialogue choice.,Player,VisitorCenterStart
line:5294c3,你这里都卖些什么周边？,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:68907f,我现在不需要这个,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:c2141d,"好的，一路顺风","alrighty, take care",,Original,VisitorCenterStart
line:590cdd,"实际上，我们的周边都卖完了","actually, we're all sold out",If the player tries to buy feathers but they're sold out.,Original,BuyFeatherStart
line:811e78,<color=red>一个男孩</color>早些时候过来\n买走了大部分的\n剩余库存,<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,The boy is highlighted because it hints you'll find him later.,Original,BuyFeatherStart
line:a6297a,他一定是打算\n在山里转转！,he must be going\non some hike!,,Original,BuyFeatherStart
line:8cdf8a,"好的，请拿好！","sure, here ya go!",If the player buys a feather from them.,Original,BuyFeatherStart
line:069cfe,这便是我们这里剩下的\n最后一根羽毛了,that's actually all\nthe feathers we have,After the player buys the last feather.,Original,BuyFeatherStart
line:4e8558,<color=red>一个男孩</color>早些时候过来\n买走了大部分的\n剩余库存,<color=red>a boy</color> came by earlier\nand bought most our\nremaining stock,,Original,BuyFeatherStart
line:d958fc,更多的羽毛得靠\n你得自己去找了,you'll have to find\nmore elsewhere,,Original,BuyFeatherStart
line:5fda34,抱歉！,sorry!,,Original,BuyFeatherStart
line:522b92,好的！一共是40硬币,sure! that'll be 40 coins,"If the player tries to buy, but doesn't have money.",Original,BuyFeatherStart
line:bf6622,哦等等,oh wait,,Player,BuyFeatherStart
line:e93615,我的钱不够,i don't have enough money,,Player,BuyFeatherStart
line:f011d1,...,...,,Player,BuyFeatherStart
line:f9fe9a,暂时还不够！,yet!,,Player,BuyFeatherStart
line:df579f,哦,oh,The next time the player doesn't have enough money.,Player,BuyFeatherStart
line:1cb666,对啊，我忘了,yeah i forgot,,Player,BuyFeatherStart
line:8cc5ff,我还需要找到更多的硬币才行,i still need to find more cash,,Player,BuyFeatherStart
line:16706a,"<sprite name=""UpArrow"" tint=1>游客中心\n<sprite tint=1 name=""LeftArrow"">鹰峰小路","<sprite name=""UpArrow"" tint=1> Visitor Center\n<sprite tint=1 name=""LeftArrow""> Hawk Peak Trail",This is a sign.,Original,VistorCenterCrossroadsStart
line:81143b,"席德沙滩<sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow"">雪莉点","Sid Beach <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Shirley's Point",,Original,VistorCenterCrossroadsStart
line:eb7a43,"<sprite name=""UpArrow"" tint=1>布莱克伍德林道\n<sprite name=""LeftArrow"" tint=1>鹰峰小路","<sprite name=""UpArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Hawk Peak Trail",,Original,KioskSignStart
line:1024d7,"<sprite name=""DownArrow"" tint=1> 游客中心\n白岸步道 <sprite name=""RightArrow"" tint=1>","<sprite name=""DownArrow"" tint=1> Visitor Center\nWhite Beach Trail <sprite name=""RightArrow"" tint=1>",,Original,KioskSignStart
line:4957ee,"<sprite name=""UpArrow"" tint=1>鹰峰小路\n<sprite name=""UpArrow"" tint=1>佳溪狭径","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,HawkPeakRiverSignStart
line:628d3d,"<sprite name=""LeftArrow"" tint=1>皇家山脊\n布莱克伍德林道<sprite name=""RightArrow"" tint=1>","<sprite name=""LeftArrow"" tint=1> Royal Ridge\nBlackwood Trail <sprite name=""RightArrow"" tint=1>",,Original,HawkPeakRiverSignStart
line:326ae7,"<sprite name=""UpArrow"" tint=1>鹰峰小路\n<sprite name=""UpArrow"" tint=1>佳溪狭径","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,RoyalRidgeSignStart
line:ede0b0,"<sprite name=""DownArrow"" tint=1>布莱克伍德林道\n<sprite name=""LeftArrow"" tint=1>皇家山脊","<sprite name=""DownArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Royal Ridge",,Original,RoyalRidgeSignStart
line:b2763c,"<sprite name=""UpArrow"" tint=1>鹰峰小路\n<sprite name=""DownArrow"" tint=1>佳溪狭径\n陨星湖<sprite name=""RightArrow"" tint=1>","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""DownArrow"" tint=1> Good Creek Path\nMeteor Lake <sprite name=""RightArrow"" tint=1>",,Original,FireTowerSnowSignStart
line:e9a55c,"<sprite name=""UpArrow"" tint=1>鹰峰小路","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail",,Original,HawkPeakSignStart
line:4da2e1,需要至少<color=yellow>7根金羽毛</color>\n才能走完全程。,At least <color=yellow>7 Golden Feathers</color> are\nrequired to complete this hike.,,Original,HawkPeakSignStart
line:12ab30,徒步旅行的新手应该考虑使用的更多金羽毛,Novice hikers should consider using more.,,Original,HawkPeakSignStart
line:8368eb,"<sprite tint=1 name=""Warning"">徒步小贴士<sprite tint=1 name=""Warning"">","<sprite tint=1 name=""Warning""> HIKING TIP <sprite tint=1 name=""Warning"">",,Original,HawkPeakSignStart
line:4188b8,攀爬消耗的耐力会比飞行要少！,climbing uses less stamina than flying!,,Original,HawkPeakSignStart
line:06e25d,"若想进行攀爬，只需要正对墙壁按下{{JumpButton}}","to climb, push against a wall and hold {{JumpButton}}",,Original,HawkPeakSignStart
line:369fc3,"<sprite name=""LeftArrow"" tint=1>陨星湖环道<sprite name=""RightArrow"" tint=1>\n<sprite name=""LeftArrow"" tint=1>鹰峰小路\n<sprite name=""DownArrow"" tint=1>布莱克伍德林道","<sprite name=""LeftArrow"" tint=1> Meteor Lake Overlook <sprite name=""RightArrow"" tint=1>\n<sprite name=""LeftArrow"" tint=1> Hawk Peak Trail\n<sprite name=""DownArrow"" tint=1> Blackwood Trail",,Original,MeteorLakeSignStart
line:e9e473,"<sprite name=""LeftArrow"" tint=1>陨星湖环道<sprite name=""RightArrow"" tint=1>\n<sprite name=""DownArrow"" tint=1>鹰峰小路","<sprite name=""LeftArrow"" tint=1> Meteor Lake Overlook <sprite name=""RightArrow"" tint=1>\n<sprite name=""DownArrow"" tint=1> Hawk Peak Trail",,Original,MeteorLakeLeftSignStart
